lat,lon,uv_mean
-12.02,-38.74,2.1088071428571427
-12.02,-37.24,2.312707142857143
-10.52,-71.74,1.8171357142857143
-10.52,-70.24,1.8427345238095236
-10.52,-68.74,1.8436761904761905
-10.52,-67.24,1.8456380952380953
-10.52,-65.74,1.8581595238095236
-10.52,-64.24,1.8678154761904762
-10.52,-62.74,1.8948833333333335
-10.52,-61.24,1.91445
-10.52,-59.74,1.912129761904762
-10.52,-58.24,1.9670511904761905
-10.52,-56.74,2.018094047619048
-10.52,-55.24,2.027347619047619
-10.52,-53.74,2.2970333333333337
-10.52,-52.24,2.3110940476190476
-10.52,-50.74,2.2631654761904763
-10.52,-49.24,2.353092857142857
-10.52,-47.74,2.4650416666666666
-10.52,-46.24,2.5069785714285713
-10.52,-44.74,2.563384523809524
-10.52,-43.24,2.5801833333333333
-10.52,-41.74,2.5702797619047617
-10.52,-40.24,2.520653571428572
-10.52,-38.74,2.528277380952381
-10.52,-37.24,2.3535404761904766
-10.52,-35.74,2.4362392857142856
-9.02,-73.24,1.8319285714285716
-9.02,-71.74,1.8243357142857144
-9.02,-70.24,1.834929761904762
-9.02,-68.74,1.8586095238095237
-9.02,-67.24,1.8573345238095238
-9.02,-65.74,1.858445238095238
-9.02,-64.24,1.8628642857142856
-9.02,-62.74,1.9015976190476191
-9.02,-61.24,1.9294083333333334
-9.02,-59.74,1.9280785714285715
-9.02,-58.24,1.9196630952380953
-9.02,-56.74,1.9756309523809523
-9.02,-55.24,1.9407238095238095
-9.02,-53.74,2.0894190476190473
-9.02,-52.24,2.2845988095238097
-9.02,-50.74,2.304945238095238
-9.02,-49.24,2.336165476190476
-9.02,-47.74,2.3992511904761904
-9.02,-46.24,2.441775
-9.02,-44.74,2.481459523809524
-9.02,-43.24,2.535229761904762
-9.02,-41.74,2.6253035714285713
-9.02,-40.24,2.573977380952381
-9.02,-38.74,2.4565190476190475
-9.02,-37.24,2.4541666666666666
-9.02,-35.74,2.454041666666667
-9.02,-34.24,2.4501476190476192
-7.52,-73.24,1.8493857142857144
-7.52,-71.74,1.8818607142857142
-7.52,-70.24,1.885795238095238
-7.52,-68.74,1.8657523809523808
-7.52,-67.24,1.865702380952381
-7.52,-65.74,1.9045511904761905
-7.52,-64.24,1.9680464285714285
-7.52,-62.74,2.0922857142857145
-7.52,-61.24,2.0986940476190474
-7.52,-59.74,1.9191678571428572
-7.52,-58.24,1.9819083333333332
-7.52,-56.74,1.9928154761904764
-7.52,-55.24,1.9430369047619047
-7.52,-53.74,1.9914940476190475
-7.52,-52.24,2.0301119047619047
-7.52,-50.74,2.012007142857143
-7.52,-49.24,2.1318154761904764
-7.52,-47.74,2.3159261904761905
-7.52,-46.24,2.3714178571428572
-7.52,-44.74,2.420032142857143
-7.52,-43.24,2.4664261904761906
-7.52,-41.74,2.343334523809524
-7.52,-40.24,2.3187440476190475
-7.52,-38.74,2.3796178571428572
-7.52,-37.24,2.4047428571428573
-7.52,-35.74,2.196679761904762
-7.52,-34.24,2.334302380952381
-6.02,-73.24,1.8565940476190474
-6.02,-71.74,1.8962166666666667
-6.02,-70.24,1.9324666666666666
-6.02,-68.74,1.9014964285714286
-6.02,-67.24,1.944025
-6.02,-65.74,2.0255940476190477
-6.02,-64.24,1.9824547619047619
-6.02,-62.74,2.0017011904761906
-6.02,-61.24,2.103910714285714
-6.02,-59.74,1.9597892857142856
-6.02,-58.24,2.080688095238095
-6.02,-56.74,1.912742857142857
-6.02,-55.24,2.007633333333333
-6.02,-53.74,1.9635738095238096
-6.02,-52.24,1.9603702380952381
-6.02,-50.74,2.0496
-6.02,-49.24,2.0831119047619047
-6.02,-47.74,2.256464285714286
-6.02,-46.24,2.377997619047619
-6.02,-44.74,2.4092964285714285
-6.02,-43.24,2.4686666666666666
-6.02,-41.74,2.3306738095238093
-6.02,-40.24,2.329329761904762
-6.02,-38.74,2.3907142857142856
-6.02,-37.24,2.414127380952381
-6.02,-35.74,2.2189976190476193
-6.02,-34.24,2.4058416666666664
-4.52,-73.24,1.9984273809523811
-4.52,-71.74,2.0957476190476187
-4.52,-70.24,2.0877309523809524
-4.52,-68.74,2.0612357142857145
-4.52,-67.24,2.0764738095238098
-4.52,-65.74,2.0492333333333335
-4.52,-64.24,2.0799809523809523
-4.52,-62.74,2.075591666666667
-4.52,-61.24,2.0799059523809524
