lat,lon,uv_mean
25.56,-5.18,1.7112130952380953
25.56,-4.18,1.7115011904761905
25.56,-3.18,1.7100797619047619
25.56,-2.18,1.7174782712227648
25.56,-1.18,1.7714906536492439
25.56,-0.18,1.7541421597809264
25.56,0.82,1.7093500000000001
25.56,1.82,1.7492011904761906
25.56,2.82,1.7559333333333333
25.56,3.82,1.8302130952380953
25.56,4.82,1.865967857142857
25.56,5.82,1.8901690476190476
25.56,6.82,1.9067511904761905
25.56,7.82,2.262794047619048
25.56,8.82,2.2203285714285714
25.56,9.82,2.282797619047619
26.56,-8.18,1.727077380952381
26.56,-7.18,1.6890916666666667
26.56,-6.18,1.6936880952380953
26.56,-5.18,1.6633928571428571
26.56,-4.18,1.6702333333333332
26.56,-3.18,1.6705857142857143
26.56,-2.18,1.718722619047619
26.56,-1.18,1.7298357142857144
26.56,-0.18,1.698059523809524
26.56,0.82,1.6652654761904762
26.56,1.82,1.6823535714285716
26.56,2.82,1.7022726190476192
26.56,3.82,1.7584166666666667
26.56,4.82,1.7792904761904762
26.56,5.82,2.154363095238095
26.56,6.82,2.1919488095238093
26.56,7.82,1.8563607142857144
26.56,8.82,1.8609952380952381
26.56,9.82,1.8345559523809525
27.56,-8.18,1.7116214285714286
27.56,-7.18,1.7269142857142856
27.56,-6.18,1.6914809523809524
27.56,-5.18,1.6841071428571428
27.56,-4.18,1.6867476190476192
27.56,-3.18,1.6954416666666665
27.56,-2.18,1.7126547619047618
27.56,-1.18,1.725342857142857
27.56,-0.18,1.643470238095238
27.56,0.82,1.6421693058697464
27.56,1.82,1.6677154761904762
27.56,2.82,1.6620669127277057
27.56,3.82,1.893698059292773
27.56,4.82,1.6910321428571429
27.56,5.82,1.7315845238095238
27.56,6.82,1.722304761904762
27.56,7.82,1.8075690476190476
27.56,8.82,1.7632678571428573
27.56,9.82,1.7744916666666666
28.56,-8.18,1.6541547619047619
28.56,-7.18,1.6603857142857144
28.56,-6.18,1.6442511904761903
28.56,-5.18,1.655477380952381
28.56,-4.18,1.6442416666666666
28.56,-3.18,1.637270238095238
28.56,-2.18,1.6265583333333333
28.56,-1.18,1.6352714285714287
28.56,-0.18,1.6012071428571428
28.56,0.82,1.6112702380952382
28.56,1.82,1.8990809523809524
28.56,2.82,1.883453982616978
28.56,3.82,1.6561821428571428
28.56,4.82,1.681629761904762
28.56,5.82,1.693690476190476
28.56,6.82,1.6644309523809524
28.56,7.82,1.6894345238095239
28.56,8.82,1.6976059523809524
28.56,9.82,1.7234297619047618
29.56,-8.18,1.7271964285714287
29.56,-7.18,1.6658523809523809
29.56,-6.18,1.6456642857142858
29.56,-5.18,1.6652666666666667
29.56,-4.18,1.6521559523809524
29.56,-3.18,1.664202380952381
